id,tag_name,name,published_at,created_at,draft,prerelease,html_url,tarball_url,zipball_url
169967373,v0.5.5,v0.5.5,2024-08-13T13:53:17Z,2024-08-13T13:10:04Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.5,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.5,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.5
169794533,v0.5.4,v0.5.4,2024-08-12T14:51:49Z,2024-08-12T14:37:09Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.4,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.4,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.4
169495836,v0.5.3,v0.5.3,2024-08-09T11:06:36Z,2024-08-09T10:58:58Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.3,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.3,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.3
169363887,v0.5.2,v0.5.2,2024-08-08T16:03:27Z,2024-08-08T15:53:18Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.2,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.2,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.2
169290123,v0.5.1,v0.5.1,2024-08-08T13:08:05Z,2024-08-08T10:13:47Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.1,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.1,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.1
169112865,v0.5.0,v0.5.0,2024-08-07T14:02:36Z,2024-08-07T13:55:51Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.5.0,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.5.0,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.5.0
168896902,v0.4.9,v0.4.9,2024-08-06T13:00:39Z,2024-08-06T12:41:34Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.9,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.9,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.9
168646666,v0.4.8,v0.4.8,2024-08-05T05:27:40Z,2024-08-05T05:20:55Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.8,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.8,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.8
168374353,v0.4.7,v0.4.7,2024-08-02T04:46:10Z,2024-08-02T03:32:29Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.7,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.7,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.7
168181070,v0.4.6,v0.4.6,2024-08-01T08:53:00Z,2024-08-01T07:36:07Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.6,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.6,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.6
168079930,v0.4.5,v0.4.5,2024-07-31T16:07:55Z,2024-07-31T16:05:16Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.5,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.5,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.5
167975766,v0.4.4,v0.4.4,2024-07-31T05:58:55Z,2024-07-31T05:54:04Z,False,False,https://github.com/CherryHQ/cherry-studio/releases/tag/v0.4.4,https://api.github.com/repos/CherryHQ/cherry-studio/tarball/v0.4.4,https://api.github.com/repos/CherryHQ/cherry-studio/zipball/v0.4.4
